,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
70,Angelo Fulgini,fr FRA,MF,22.0,20.3,59.0,3.36,30.0,13.0,9.0,1.0,6.0,0.0,5.0,0.28,2.0,0.0,2.0,1.0,0.0,0.0,0.0,Matches,angers
71,Rachid Alioui,ma MAR,FW,27.0,19.2,39.0,2.25,30.0,0.0,4.0,3.0,2.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
72,Sada Thioub,sn SEN,"MF,FW",24.0,18.9,56.0,3.34,42.0,4.0,6.0,3.0,1.0,0.0,4.0,0.24,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
73,Mathias Pereira Lage,pt POR,MF,22.0,18.7,52.0,3.04,37.0,1.0,2.0,3.0,8.0,0.0,8.0,0.47,5.0,0.0,1.0,0.0,1.0,0.0,1.0,Matches,angers
74,Rayan Aït Nouri,fr FRA,DF,18.0,14.2,22.0,1.54,17.0,3.0,0.0,0.0,1.0,1.0,4.0,0.28,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
75,Mateo Pavlović,ba BIH,DF,29.0,13.4,4.0,0.44,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
76,Stéphane Bahoken,cm CMR,FW,27.0,13.3,21.0,2.08,16.0,0.0,0.0,3.0,1.0,1.0,3.0,0.3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,angers
77,Antonin Bobichon,fr FRA,MF,23.0,10.1,17.0,2.36,12.0,5.0,0.0,0.0,0.0,0.0,2.0,0.28,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
78,Abdoulaye Bamba,ci CIV,DF,29.0,8.5,3.0,0.49,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
79,Casimir Ninga,td CHA,"MF,FW",26.0,8.2,28.0,3.69,23.0,0.0,1.0,2.0,2.0,0.0,2.0,0.26,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,angers
80,Théo Pellenard,fr FRA,DF,25.0,7.3,11.0,2.18,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
81,Danijel Petković,me MNE,GK,26.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
82,Farid El Melali,dz ALG,"MF,FW",22.0,5.4,8.0,2.35,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
83,Souleyman Doumbia,ci CIV,DF,22.0,5.0,7.0,1.4,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
84,Vincent Pajot,fr FRA,MF,28.0,2.3,4.0,3.19,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,angers
85,Zinédine Ould Khaled,fr FRA,MF,19.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
86,Ibrahim Cissé,sn SEN,DF,23.0,1.6,1.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
87,Wilfried Kanga,fr FRA,FW,21.0,1.0,2.0,2.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
88,Jeff Reine-Adélaïde,fr FRA,MF,21.0,0.9,3.0,3.42,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,angers
89,Pierre-Emerick Aubameyang,ga GAB,FW,30.0,41.4,67.0,1.7,47.0,0.0,8.0,5.0,5.0,2.0,11.0,0.28,7.0,0.0,0.0,2.0,1.0,1.0,0.0,Matches,Arsenal
90,David Luiz,br BRA,DF,32.0,40.4,14.0,0.39,10.0,0.0,1.0,1.0,0.0,2.0,4.0,0.11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
91,Granit Xhaka,ch SUI,"MF,DF",26.0,38.1,58.0,1.75,42.0,6.0,3.0,1.0,2.0,4.0,5.0,0.15,4.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,Arsenal
92,Bernd Leno,de GER,GK,27.0,31.8,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
93,Bukayo Saka,eng ENG,"DF,FW",17.0,30.4,69.0,2.7,50.0,2.0,9.0,3.0,3.0,2.0,14.0,0.55,12.0,0.0,1.0,0.0,0.0,1.0,0.0,Matches,Arsenal
94,Nicolas Pépé,ci CIV,"FW,DF",24.0,30.2,84.0,3.28,48.0,17.0,10.0,4.0,5.0,0.0,11.0,0.43,9.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
95,Alexandre Lacazette,fr FRA,FW,28.0,28.6,70.0,2.79,43.0,0.0,5.0,11.0,9.0,2.0,15.0,0.6,5.0,0.0,3.0,4.0,1.0,2.0,0.0,Matches,Arsenal
