,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,club
63,Stefan Ortega,de GER,GK,28-175,32.0,1295.0,1818.0,71.2,46584.0,29489.0,112.0,114.0,98.2,575.0,586.0,98.1,608.0,1117.0,54.4,1,0.4,0.6,4.0,86.0,9.0,0.0,3.0,Matches,Arminia
64,Ritsu Doan,jp JPN,"MF,FW",22-318,28.7,494.0,782.0,63.2,8748.0,3403.0,247.0,301.0,82.1,157.0,230.0,68.3,69.0,193.0,35.8,2,3.2,-1.2,43.0,42.0,29.0,8.0,71.0,Matches,Arminia
65,Fabian Klos,de GER,FW,33-149,28.2,409.0,702.0,58.3,6764.0,1715.0,217.0,331.0,65.6,136.0,246.0,55.3,42.0,75.0,56.0,2,3.3,-1.3,25.0,42.0,15.0,2.0,71.0,Matches,Arminia
66,Amos Pieper,de GER,DF,23-103,27.8,1163.0,1390.0,83.7,29036.0,7593.0,207.0,243.0,85.2,619.0,671.0,92.3,328.0,457.0,71.8,1,0.5,0.5,7.0,55.0,16.0,0.0,73.0,Matches,Arminia
67,Cédric Brunner,ch SUI,DF,27-072,27.5,949.0,1328.0,71.5,18863.0,7404.0,346.0,394.0,87.8,439.0,555.0,79.1,154.0,334.0,46.1,1,1.0,0.0,15.0,74.0,23.0,15.0,84.0,Matches,Arminia
68,Manuel Prietl,at AUT,MF,29-270,26.0,721.0,904.0,79.8,14671.0,3088.0,255.0,316.0,80.7,323.0,378.0,85.4,134.0,182.0,73.6,1,1.3,-0.3,7.0,54.0,6.0,1.0,49.0,Matches,Arminia
69,Joakim Nilsson,se SWE,DF,27-083,22.0,802.0,951.0,84.3,18094.0,5299.0,196.0,222.0,88.3,441.0,483.0,91.3,163.0,234.0,69.7,0,0.1,-0.1,1.0,29.0,0.0,0.0,38.0,Matches,Arminia
70,Marcel Hartel,de GER,MF,25-101,19.5,587.0,784.0,74.9,10836.0,2692.0,270.0,303.0,89.1,232.0,284.0,81.7,75.0,156.0,48.1,0,1.2,-1.2,14.0,45.0,17.0,7.0,56.0,Matches,Arminia
71,Anderson Lucoqui,ao ANG,DF,23-298,16.3,453.0,671.0,67.5,8521.0,3206.0,180.0,219.0,82.2,212.0,298.0,71.1,53.0,113.0,46.9,0,0.1,-0.1,5.0,30.0,5.0,0.0,41.0,Matches,Arminia
72,Mike van der Hoorn,nl NED,DF,28-197,15.0,720.0,827.0,87.1,17435.0,4775.0,142.0,157.0,90.4,408.0,436.0,93.6,165.0,225.0,73.3,0,0.1,-0.1,3.0,25.0,3.0,0.0,30.0,Matches,Arminia
73,Fabian Kunze,de GER,MF,22-320,13.9,438.0,559.0,78.4,8050.0,1876.0,177.0,218.0,81.2,207.0,241.0,85.9,47.0,80.0,58.8,0,0.4,-0.4,5.0,41.0,3.0,0.0,48.0,Matches,Arminia
74,Sergio Córdova,ve VEN,"FW,MF",23-264,12.6,180.0,267.0,67.4,2619.0,646.0,105.0,130.0,80.8,52.0,80.0,65.0,13.0,26.0,50.0,1,1.2,-0.2,15.0,18.0,2.0,0.0,19.0,Matches,Arminia
75,Jacob Barrett Laursen,dk DEN,DF,26-164,12.2,425.0,543.0,78.3,8185.0,2920.0,157.0,185.0,84.9,207.0,247.0,83.8,57.0,88.0,64.8,1,1.2,-0.2,4.0,26.0,5.0,2.0,27.0,Matches,Arminia
76,Arne Maier,de GER,"MF,FW",22-112,8.5,247.0,325.0,76.0,5072.0,1075.0,88.0,101.0,87.1,107.0,133.0,80.5,49.0,75.0,65.3,0,0.8,-0.8,7.0,14.0,6.0,0.0,23.0,Matches,Arminia
77,Andreas Voglsammer,de GER,"FW,MF",29-111,8.4,123.0,212.0,58.0,1839.0,532.0,74.0,116.0,63.8,37.0,65.0,56.9,7.0,19.0,36.8,1,1.1,-0.1,4.0,8.0,9.0,1.0,21.0,Matches,Arminia
78,Sven Schipplock,de GER,"FW,MF",32-173,8.0,96.0,177.0,54.2,1418.0,345.0,54.0,85.0,63.5,33.0,54.0,61.1,5.0,15.0,33.3,0,0.9,-0.9,10.0,11.0,0.0,0.0,10.0,Matches,Arminia
79,Christian Gebauer,at AUT,"MF,FW",27-131,7.5,126.0,191.0,66.0,1986.0,816.0,68.0,85.0,80.0,38.0,58.0,65.5,13.0,29.0,44.8,1,0.6,0.4,9.0,7.0,5.0,1.0,21.0,Matches,Arminia
80,Masaya Okugawa,jp JPN,"MF,FW",25-016,7.5,66.0,112.0,58.9,969.0,276.0,37.0,50.0,74.0,19.0,31.0,61.3,5.0,18.0,27.8,0,0.6,-0.6,1.0,4.0,1.0,0.0,5.0,Matches,Arminia
81,Reinhold Yabo,de GER,"MF,FW",29-079,7.2,126.0,166.0,75.9,2260.0,527.0,55.0,65.0,84.6,53.0,64.0,82.8,14.0,23.0,60.9,0,0.0,0.0,1.0,14.0,3.0,0.0,14.0,Matches,Arminia
82,Nathan de Medina,be BEL,DF,23-204,6.7,204.0,306.0,66.7,3403.0,1528.0,103.0,116.0,88.8,80.0,127.0,63.0,14.0,44.0,31.8,1,0.6,0.4,3.0,12.0,4.0,2.0,13.0,Matches,Arminia
83,Cebio Soukou,bj BEN,"FW,MF",28-210,5.9,101.0,115.0,87.8,1669.0,288.0,46.0,50.0,92.0,39.0,44.0,88.6,10.0,13.0,76.9,0,0.1,-0.1,4.0,5.0,3.0,1.0,11.0,Matches,Arminia
