,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches,club
81,Reinhold Yabo,de GER,"MF,FW",29-079,7.2,166.0,165.0,1.0,1.0,0.0,40.0,3.0,3.0,0.0,0.0,0.0,0.0,130.0,11.0,25.0,22.0,132.0,7.0,0.0,3.0,126.0,0.0,4.0,4.0,9.0,Matches,Arminia
82,Nathan de Medina,be BEL,DF,23-204,6.7,306.0,212.0,94.0,6.0,0.0,44.0,3.0,6.0,0.0,0.0,0.0,0.0,141.0,63.0,102.0,38.0,167.0,12.0,88.0,1.0,204.0,1.0,9.0,7.0,11.0,Matches,Arminia
83,Cebio Soukou,bj BEN,"FW,MF",28-210,5.9,115.0,111.0,4.0,0.0,0.0,26.0,3.0,3.0,0.0,0.0,0.0,0.0,85.0,18.0,12.0,11.0,93.0,3.0,3.0,1.0,101.0,1.0,5.0,1.0,2.0,Matches,Arminia
84,Michel Vlap,nl NED,"MF,FW",23-332,4.1,118.0,95.0,23.0,5.0,0.0,24.0,12.0,4.0,9.0,5.0,2.0,1.0,69.0,17.0,32.0,17.0,88.0,8.0,1.0,0.0,80.0,0.0,2.0,4.0,9.0,Matches,Arminia
85,Nils Seufert,de GER,"MF,FW",24-086,3.8,154.0,146.0,8.0,5.0,0.0,31.0,1.0,2.0,2.0,0.0,2.0,0.0,105.0,29.0,20.0,26.0,114.0,9.0,1.0,0.0,125.0,0.0,2.0,2.0,5.0,Matches,Arminia
86,Brian Behrendt,de GER,DF,29-188,0.9,56.0,39.0,17.0,3.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,17.0,25.0,14.0,0.0,37.0,3.0,14.0,0.0,41.0,0.0,1.0,1.0,2.0,Matches,Arminia
87,Jóan Símun Edmundsson,fo FRO,"MF,FW",29-278,0.6,15.0,14.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,3.0,13.0,2.0,0.0,0.0,0.0,11.0,0.0,2.0,1.0,1.0,Matches,Arminia
88,Jomaine Consbruch,de GER,MF,19-094,0.5,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Matches,Arminia
89,Noel Niemann,de GER,FW,21-167,0.1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,Matches,Arminia
90,Sebastian Müller,de GER,"MF,DF",20-097,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
91,Bernd Leno,de GER,GK,29-063,44.1,1294.0,991.0,303.0,75.0,1.0,98.0,21.0,0.0,0.0,0.0,0.0,0.0,878.0,40.0,376.0,147.0,940.0,2.0,0.0,184.0,1044.0,1.0,30.0,3.0,2.0,Matches,Arsenal
92,Granit Xhaka,ch SUI,MF,28-221,40.2,2755.0,2634.0,121.0,67.0,4.0,300.0,103.0,9.0,0.0,0.0,0.0,0.0,2134.0,292.0,329.0,2187.0,347.0,120.0,53.0,9.0,2481.0,6.0,26.0,49.0,31.0,Matches,Arsenal
93,Bukayo Saka,eng ENG,FW,19-243,36.3,1306.0,1189.0,117.0,26.0,4.0,255.0,37.0,113.0,57.0,19.0,17.0,10.0,918.0,161.0,227.0,955.0,268.0,31.0,34.0,7.0,999.0,4.0,23.0,22.0,49.0,Matches,Arsenal
94,Rob Holding,eng ENG,DF,25-228,32.3,1717.0,1679.0,38.0,30.0,0.0,124.0,63.0,3.0,0.0,0.0,0.0,0.0,1352.0,121.0,244.0,180.0,1431.0,65.0,8.0,7.0,1530.0,3.0,32.0,16.0,8.0,Matches,Arsenal
95,Pierre-Emerick Aubameyang,ga GAB,FW,31-322,30.2,717.0,693.0,24.0,1.0,6.0,151.0,8.0,51.0,1.0,0.0,0.0,0.0,514.0,103.0,100.0,80.0,586.0,17.0,4.0,8.0,540.0,7.0,6.0,15.0,22.0,Matches,Arsenal
96,Héctor Bellerín,es ESP,MF,26-048,29.5,1607.0,1401.0,206.0,17.0,3.0,222.0,16.0,66.0,0.0,0.0,0.0,0.0,1080.0,343.0,184.0,125.0,1197.0,68.0,189.0,3.0,1340.0,4.0,18.0,36.0,50.0,Matches,Arsenal
97,Nicolas Pépé,ci CIV,"FW,MF",25-342,28.6,964.0,894.0,70.0,20.0,2.0,181.0,25.0,85.0,44.0,16.0,13.0,4.0,721.0,107.0,136.0,798.0,82.0,29.0,6.0,8.0,718.0,3.0,14.0,35.0,44.0,Matches,Arsenal
