,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
76,Arne Maier,de GER,"MF,FW",22-112,8.5,14.0,1.64,10.0,2.0,0.0,1.0,0.0,1.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
77,Andreas Voglsammer,de GER,"FW,MF",29-111,8.4,15.0,1.79,12.0,0.0,0.0,1.0,2.0,0.0,2.0,0.24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Arminia
78,Sven Schipplock,de GER,"FW,MF",32-173,8.0,16.0,1.99,11.0,0.0,1.0,0.0,3.0,1.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
79,Christian Gebauer,at AUT,"MF,FW",27-131,7.5,14.0,1.86,12.0,0.0,0.0,2.0,0.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
80,Masaya Okugawa,jp JPN,"MF,FW",25-016,7.5,10.0,1.33,6.0,0.0,0.0,1.0,2.0,1.0,1.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Arminia
81,Reinhold Yabo,de GER,"MF,FW",29-079,7.2,7.0,0.97,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
82,Nathan de Medina,be BEL,DF,23-204,6.7,5.0,0.75,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
83,Cebio Soukou,bj BEN,"FW,MF",28-210,5.9,8.0,1.62,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
84,Michel Vlap,nl NED,"MF,FW",23-332,4.1,11.0,2.67,6.0,4.0,0.0,0.0,0.0,1.0,2.0,0.49,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
85,Nils Seufert,de GER,"MF,FW",24-086,3.8,6.0,1.57,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
86,Brian Behrendt,de GER,DF,29-188,0.9,2.0,2.28,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
87,Jóan Símun Edmundsson,fo FRO,"MF,FW",29-278,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
88,Jomaine Consbruch,de GER,MF,19-094,0.5,,,,,,,,,,,,,,,,,,Matches,Arminia
89,Noel Niemann,de GER,FW,21-167,0.1,,,,,,,,,,,,,,,,,,Matches,Arminia
90,Sebastian Müller,de GER,"MF,DF",20-097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
91,Bernd Leno,de GER,GK,29-063,44.1,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
92,Granit Xhaka,ch SUI,MF,28-221,40.2,51.0,1.41,47.0,0.0,0.0,2.0,2.0,0.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
93,Bukayo Saka,eng ENG,FW,19-243,36.3,114.0,3.51,69.0,12.0,10.0,7.0,16.0,0.0,15.0,0.46,10.0,0.0,1.0,0.0,4.0,0.0,0.0,Matches,Arsenal
94,Rob Holding,eng ENG,DF,25-228,32.3,14.0,0.5,12.0,0.0,1.0,0.0,0.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
95,Pierre-Emerick Aubameyang,ga GAB,FW,31-322,30.2,49.0,1.78,37.0,0.0,5.0,4.0,3.0,0.0,7.0,0.25,6.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,Arsenal
96,Héctor Bellerín,es ESP,MF,26-048,29.5,50.0,1.78,46.0,1.0,0.0,2.0,1.0,0.0,8.0,0.29,7.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,Arsenal
97,Nicolas Pépé,ci CIV,"FW,MF",25-342,28.6,73.0,3.04,47.0,6.0,9.0,6.0,5.0,0.0,17.0,0.71,8.0,1.0,3.0,3.0,2.0,0.0,0.0,Matches,Arsenal
98,Kieran Tierney,sco SCO,DF,23-335,28.5,64.0,2.44,52.0,2.0,5.0,1.0,4.0,0.0,8.0,0.3,4.0,0.0,2.0,0.0,2.0,0.0,0.0,Matches,Arsenal
